Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Direction,FloorCount,WalkScore,SchoolNearby,HospitalNearby,PublicTransport,PropertyCondition,HeatingType,GarageType,RenovatedYear
Reservoir,1,u,,S,hockingstuart,18/6/2016,16.5,3216,2.0,4.0,5.0,,,,Moreland,-37.7453,144.8953,Northern Metropolitan,5696,E,2.0,50.0,,No,Yes,Poor,None,Carport,2003.0
Brunswick,2,t,2272643.0,S,Biggin,18/6/2016,4.0,3066,4.0,4.0,1.0,,,,Moonee Valley,-37.6615,145.1632,Southern Metropolitan,2585,SW,3.0,77.0,Yes,No,,Good,Solar,,1998.0
Hawthorn,6,u,769385.0,PI,Marshall,3/12/2016,26.7,3209,2.0,1.0,2.0,50.7,,,,-37.9013,145.0467,South-Eastern Metropolitan,13179,NW,2.0,96.0,No,No,Yes,Excellent,Gas,,2021.0
Malvern,1,t,1822138.0,SA,Barry,4/2/2017,,3177,,,,2418.4,,1926.0,Boroondara,-37.6787,145.0913,Western Metropolitan,13379,N,4.0,87.0,No,,Yes,Average,None,Single,
St Kilda,4,h,2267337.0,PI,Nelson,18/6/2016,16.8,3117,2.0,3.0,,2476.8,,1954.0,Moonee Valley,-37.9163,145.1689,Northern Metropolitan,7303,NW,3.0,50.0,No,No,Yes,Poor,Solar,None,
Coburg,5,t,2573724.0,VB,Barry,4/2/2017,12.2,3037,2.0,3.0,2.0,2107.9,,1914.0,Darebin,-37.6272,144.9862,Western Metropolitan,27917,SE,3.0,,Yes,Yes,No,Average,Electric,,2007.0
Hawthorn,1,h,2478531.0,SP,Barry,7/5/2017,18.6,3130,5.0,4.0,1.0,275.9,217.1,1894.0,Moreland,-37.5589,145.0208,South-Eastern Metropolitan,26006,N,1.0,,Yes,,Yes,Good,Solar,Double,
Northcote,6,h,1879753.0,SP,Barry,18/6/2016,13.2,3111,4.0,4.0,,1776.4,,,Yarra,-37.6993,144.9895,Western Metropolitan,4716,N,4.0,38.0,Yes,No,Yes,Average,Gas,,
Reservoir,1,u,1236399.0,S,Nelson,4/2/2017,27.0,3132,2.0,,2.0,2472.0,113.9,,Moonee Valley,-37.9192,145.0924,South-Eastern Metropolitan,17220,N,2.0,73.0,No,Yes,,Poor,,,
Moonee Ponds,3,u,476256.0,SA,Nelson,3/12/2016,19.9,3151,1.0,2.0,0.0,1199.5,,,Yarra,-37.7153,144.8367,South-Eastern Metropolitan,14597,E,2.0,57.0,,,No,Average,None,None,2007.0
Collingwood,5,u,1072376.0,S,Barry,7/5/2017,30.9,3053,5.0,3.0,4.0,634.1,231.6,,Boroondara,-37.6537,145.094,Eastern Metropolitan,11423,N,3.0,67.0,,No,No,Good,,Single,2011.0
Reservoir,6,u,1135987.0,VB,Marshall,1/9/2018,19.9,3033,4.0,,,1783.5,418.7,,Yarra,,,South-Eastern Metropolitan,27258,NE,1.0,,No,No,Yes,Poor,Solar,,
St Kilda,6,t,2909574.0,PI,hockingstuart,1/9/2018,9.9,3038,4.0,3.0,,,455.2,,Darebin,-37.9318,145.001,Eastern Metropolitan,18143,SW,1.0,44.0,,,No,Good,Gas,Double,
St Kilda,2,t,670539.0,PI,Barry,3/12/2016,30.1,3111,,3.0,,194.2,,1958.0,Darebin,-37.64,144.7194,South-Eastern Metropolitan,26134,NE,4.0,,Yes,,No,Poor,Solar,,2017.0
Coburg,4,t,2549986.0,SA,Biggin,7/5/2017,20.4,3087,6.0,3.0,,1811.0,194.6,1888.0,Boroondara,-37.897,145.0873,South-Eastern Metropolitan,24063,SW,4.0,61.0,No,Yes,,Poor,Gas,Double,
Northcote,2,h,1779017.0,S,Barry,7/5/2017,8.8,3219,1.0,2.0,5.0,1947.4,324.8,,Port Phillip,-37.6338,144.7662,Western Metropolitan,20332,NE,4.0,69.0,No,No,Yes,,Solar,Double,1991.0
Brunswick,6,t,800242.0,S,Nelson,7/5/2017,,3047,6.0,3.0,,1827.0,,1952.0,Darebin,-37.5945,145.181,Eastern Metropolitan,16610,SE,3.0,31.0,No,No,No,Excellent,None,Single,1991.0
Coburg,5,t,2033802.0,VB,hockingstuart,7/5/2017,13.8,3048,5.0,3.0,1.0,1967.6,,,Moreland,-37.6055,144.7407,Northern Metropolitan,2916,N,4.0,51.0,No,Yes,Yes,Poor,Electric,None,
Coburg,1,t,1565712.0,PI,Biggin,1/9/2018,29.9,3033,5.0,4.0,,1912.6,,2016.0,Port Phillip,-37.6889,145.0601,Northern Metropolitan,22815,NE,1.0,55.0,Yes,Yes,Yes,Good,Gas,Double,
Collingwood,1,u,776249.0,S,hockingstuart,4/2/2017,17.0,3207,1.0,3.0,4.0,434.7,,,Darebin,-37.7497,144.8802,Western Metropolitan,8745,SE,4.0,69.0,Yes,Yes,Yes,Average,None,,
Preston,5,t,2883937.0,SA,hockingstuart,7/5/2017,26.0,3099,4.0,,,743.1,,1861.0,Port Phillip,-37.6002,145.0678,Northern Metropolitan,26228,NE,1.0,37.0,No,No,Yes,,Gas,Single,
Northcote,6,h,,PI,Biggin,4/2/2017,5.2,3134,2.0,4.0,,1876.0,346.2,,Moonee Valley,-37.7424,144.9595,Northern Metropolitan,4876,S,4.0,65.0,No,No,Yes,Excellent,Gas,Double,
Fitzroy,1,u,2772919.0,VB,Barry,7/5/2017,15.1,3017,1.0,2.0,,102.2,,1895.0,Darebin,-37.874,145.0148,South-Eastern Metropolitan,14147,,4.0,,,Yes,No,Excellent,Solar,Carport,
Coburg,1,h,2271835.0,SA,Barry,18/6/2016,34.4,3069,5.0,4.0,5.0,1922.5,93.5,1955.0,Port Phillip,-37.5729,144.7377,Southern Metropolitan,13036,NE,3.0,36.0,Yes,No,Yes,,Gas,None,2006.0
South Yarra,1,t,1049687.0,SP,Barry,18/6/2016,28.7,3113,6.0,2.0,,,344.5,2007.0,Moreland,-37.8007,145.1832,Southern Metropolitan,7664,SW,,,No,Yes,No,Poor,,None,2002.0
Camberwell,4,u,2482791.0,VB,Marshall,18/6/2016,,3219,1.0,2.0,,755.6,521.8,1896.0,Boroondara,-37.7003,144.7019,Northern Metropolitan,18690,SW,3.0,61.0,No,No,No,Average,Electric,Double,1996.0
Preston,4,h,,SA,Barry,7/5/2017,11.2,3033,4.0,1.0,,,,,Darebin,-37.8703,145.1706,Western Metropolitan,17470,NW,1.0,38.0,Yes,Yes,Yes,Excellent,Gas,Carport,2004.0
Fitzroy,3,t,1318965.0,S,Biggin,4/2/2017,12.9,3050,3.0,3.0,3.0,1625.6,378.6,,Moreland,-37.9058,144.9841,Western Metropolitan,4952,E,4.0,88.0,No,Yes,No,Good,Electric,,2004.0
South Yarra,2,h,1474171.0,SP,Marshall,1/9/2018,23.5,3104,3.0,1.0,3.0,,,,Moonee Valley,-37.7296,144.8291,Eastern Metropolitan,986,NE,3.0,73.0,No,,,Poor,Gas,Single,2003.0
Northcote,5,h,,VB,Barry,3/12/2016,27.0,3092,2.0,4.0,2.0,1415.8,,2009.0,Yarra,-37.7282,145.0189,Western Metropolitan,24438,,4.0,94.0,No,No,Yes,Good,,,
Richmond,5,h,987463.0,S,Marshall,1/9/2018,26.7,3195,2.0,2.0,3.0,2733.4,,,Yarra,-37.8021,145.0364,Western Metropolitan,2208,S,,50.0,Yes,No,Yes,Poor,None,Single,2003.0
South Yarra,5,t,2338523.0,SP,Biggin,7/5/2017,18.8,3141,4.0,4.0,,1308.5,270.5,,Boroondara,-37.8253,145.0652,South-Eastern Metropolitan,13856,E,,49.0,Yes,Yes,Yes,Average,Solar,,1993.0
Moonee Ponds,3,t,2350510.0,PI,Barry,18/6/2016,28.8,3068,,2.0,5.0,1908.0,306.7,,Boroondara,-37.8003,144.7082,South-Eastern Metropolitan,14246,SW,1.0,78.0,No,Yes,No,Good,Solar,,1998.0
Preston,4,h,600679.0,S,Nelson,18/6/2016,16.4,3088,2.0,4.0,,154.3,,1906.0,Yarra,-37.6319,,Northern Metropolitan,4506,E,1.0,62.0,No,No,Yes,Good,,,
Hawthorn,6,u,2848262.0,SA,Biggin,4/2/2017,6.1,3102,3.0,2.0,5.0,279.5,,,Yarra,-37.8069,145.009,Western Metropolitan,21511,NW,1.0,47.0,No,Yes,No,Good,None,None,1997.0
South Yarra,6,u,1551133.0,VB,hockingstuart,7/5/2017,20.6,3135,4.0,1.0,5.0,,,,Boroondara,-37.5815,144.8888,Southern Metropolitan,23784,SE,1.0,70.0,Yes,Yes,,Poor,Solar,None,
